Tipo Aeronave,Tripulacion y Pasajeros,Cantidad de Fallecidos,Muertes en tierra
Antonov 12,30,26,2
Antonov 12BK,51,48,0
Antonov 12BP,9,9,14
Antonov 12V,105,7,0
Antonov 24,52,28,0
Antonov 26,11,11,0
Antonov 26B,19,18,0
Antonov 26B-100,35,34,0
Antonov 32,29,29,0
Antonov 74TK-300,17,16,0
Antonov AN-12B,5,5,0
Antonov AN-12BP,44,44,0
Antonov AN-140-100,23,23,0
Antonov AN-148-100,71,71,0
Antonov AN-2,9,9,0
Antonov AN-24B,102,67,0
Antonov AN-24RV,45,5,0
Antonov AN-24V,22,22,0
Antonov AN-26,37,34,30
Antonov AN-26-100,10,4,0
Antonov AN-26A,14,14,0
Antonov AN-26V,9,1,0
Antonov AN-28,22,20,0
Antonov AN-32,15,14,0
Antonov AN-32B,16,2,3
Antonov An-12,16,16,0
Antonov An-12B,12,12,0
Antonov An-12BK,22,19,0
Antonov An-12BP,6,3,0
Antonov An-24 V,15,12,0
Antonov An-24RV,37,7,0
Antonov An-26,43,43,0
Antonov An-26-100,32,32,0
Antonov An-28,33,29,0
Antonov An-2R,13,13,0
Antonov An-32,8,8,0
Antonov,1039,755,49
