Tipo Aeronave,Tripulacion y Pasajeros,Cantidad de Fallecidos,Muertes en tierra
Boeing 707-330C,6,6,0
Boeing 707-3J9C,16,15,0
Boeing 727-23F,5,5,0
Boeing 727-2JOF,6,5,0
Boeing 737 Max 8,157,157,0
Boeing 737-201,113,112,0
Boeing 737-230,117,99,44
Boeing 737-236,127,127,0
Boeing 737-2B7,105,96,0
Boeing 737-2M2,78,5,0
Boeing 737-31S,121,121,0
Boeing 737-500,115,0,0
Boeing 737-53A,50,50,0
Boeing 737-7H4,149,1,0
Boeing 737-809,165,0,0
Boeing 737-86J,177,3,0
Boeing 737-8AS,90,90,0
Boeing 737-8BK,47,1,0
Boeing 737-8F2,134,9,0
Boeing 737-8HG,356,179,0
Boeing 737-8KN (WL),62,62,0
Boeing 737-8KV WL,176,176,0
Boeing 737-MAX 8,189,189,0
Boeing 747-412F,4,4,35
Boeing 757-N23,128,1,0
Boeing 767-375ER,3,3,0
Boeing 777-200,239,239,0
Boeing 777-236ER,152,0,0
Boeing 777-2H6ER,298,298,0
Boeing 777-31H,300,0,1
Boeing B-707-3J9C,169,3,0
Boeing B-727-100,115,77,0
Boeing B-727-200,4,0,12
Boeing B-727-286,105,77,0
Boeing B-737-200,111,111,0
Boeing B-737-210C(A) Combi,15,12,0
Boeing B-737-219,90,68,0
Boeing B-737-244,98,40,0
Boeing B-737-291,3,3,0
Boeing B-737-2L9,117,117,0
Boeing B-737-497,140,22,0
Boeing B-737-4Q8,102,102,0
Boeing B-737-505,88,88,0
Boeing B-737-73V,131,2,0
Boeing B-737-7H4,103,0,1
Boeing B-737-8AL,114,114,0
Boeing B-737-8EH /EMB-135JB,161,154,0
Boeing B-737-8GP,108,0,0
Boeing B-747-209BSF,8,0,3
Boeing B-747-428BCF,7,7,0
Boeing B-747-48EF,2,2,0
Boeing B-777-28EER,307,3,0
Boeing B747-44AF,2,2,0
Boeing,5785,3057,96
